username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@sanjayrathiamb,"Sanjay Rathii
@sanjayrathiamb
·
5h
गौ #रक्षा एवं पर्यावरण संरक्षण के प्रतीक पर्व गोवर्धन #पूजा की आप अभी को #हार्दिक #शुभकामनाएं।

#भगवान श्री कृष्ण आप सभी पर सदैव अपनी कृपा बनाये रखें।

#गोवर्धन #कृष्ण #गौमाता
18",2024-11-02T02:39:54.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@sanjayrathiamb/status/None
@SurajBrajesh,"BRAJESH YADAV
@SurajBrajesh
·
Nov 1
श्री कृष्ण धरती के पहले समाजवादी भगवान थे
जिन्होंने सामंती इंद्र का घमंड तोड़ा था 

#गोवर्धन_पूजा_की_हार्दिक_शुभकामनाएं 
3
6
132",2024-11-01T06:17:05.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@SurajBrajesh/status/None
@jangidanilisk,"Krishna Devotee(Ank)
@jangidanilisk
·
5h
कभी उदास मन
कभी प्रफुलित मन
कभी अनिश्चितता
कभी निश्चितता 
कभी सुख
कभी दुख
कभी भय
कभी निर्भय
कभी उलझन
कभी  शांत मन
मन के हारे हार
मन के जीते जीत
जिसने मन पर नियंत्रण किया
उसने माना ईश्वर को प्राप्त किया।
मन को भक्ति युक्त कर्म में लगाओ 
सारी उलझन से पार पाओ!
हरे 
Show more
1
10
66",2024-11-02T02:54:41.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@jangidanilisk/status/None
@DeepakSAmethi,"Deepak Soni अमेठी
@DeepakSAmethi
·
Mar 1, 2023
#माँ की गोद...

जहाँ #भगवान खुद सुकून पाने के लिये सो जाते है..!!

#मां
#जय_श्री_कृष्ण
#शुभरात्रि_दोस्तों
13
14
41
448",2023-03-01T15:45:54.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@DeepakSAmethi/status/None
@Mahesh70710891,"Mahesh Mehta
@Mahesh70710891
·
Jul 18, 2023
ताकत #शरीर की नहीं
#मन की होती है
#बुद्धि की होती है 
आत्मा की होती है 
#भगवान श्री कृष्ण ने #गीता में कहा है कि
""है अर्जुन  !
जो #निष्काम_कर्म करता है मैं उसे
शक्ति प्रदान करता हूं ""
1
6
68",2023-07-18T02:51:14.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Mahesh70710891/status/None
@KavitaM40926111,"Kavita Mishra
@KavitaM40926111
·
4h
कृष्ण जिनका नाम है
           गोकुल जिनका धाम है 
 ऐसे श्री कृष्ण को 
       हम सब का प्रणाम है 
#जय_श्री_कृष्ण 
 #हैप्पी_गोवर्धन_पूजा 
47
45
107
489",2024-11-02T03:39:02.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@KavitaM40926111/status/None
@vishal_shrotriy,"पंडित विशाल श्रोत्रिय
@vishal_shrotriy
·
Oct 3
 कृष्ण का आदेश 

एक बार, एक अत्यंत गरीब महिला, जो ""श्रीकृष्ण"" पर, अटूट विश्वास करती थी, अत्यंत ही, विकट स्थिति में आ गई ! कई दिनों से खाने के लिए, पूरे परिवार को नहीं मिला।
15
115
232
4.3K",2024-10-03T04:13:02.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@vishal_shrotriy/status/None
@KrishnaGlory,"Krishna 𝐶𝑜𝑛𝑠𝑐𝑖𝑜𝑢𝑠𝑛𝑒𝑠𝑠
@KrishnaGlory
·
Sep 25
""कोई कैसा भी व्यक्ति हो, शुद्ध या अशुद्ध अवस्था में हो या किसी भी स्थान पर या किसी भी समय या किसी भी स्थिति में बिना किसी नियम भगवान के नाम का संकीर्तन और निरंतर उनका स्मरण करके लक्ष्य प्राप्त कर सकता है |"" - कृपालु जी 
17
49
436
3.9K",2024-09-25T05:12:03.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@KrishnaGlory/status/None
@_SanatanDharma,"Sanatan Dharma
@_SanatanDharma
·
Oct 27
सांवरे कृष्ण गोविंद मुरारी जी..
प्रहलाद जैसा-
विश्वास हो......
भिलनी जैसी-
आस हो..........
द्रौपदी जैसी-
पुकार हो....... 
मीरा जैसा-
प्रतीक्षा हो.....
""तो कृष्ण जी को आना ही
पडता है""।।
स्नेह वंदन,जय गोविंदा, जय 
Show more
61
196
301
3K",2024-10-27T01:19:19.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@_SanatanDharma/status/None
@Sarvagy_,"ًसर्वज्ञ Ψ
@Sarvagy_
·
Oct 22
श्री कृष्ण कहते हैं कि :-

""इच्छाओं का त्याग ही सच्ची मुक्ति का मार्ग है,
मनुष्य की सबसे बड़ी शक्ति उसकी आस्था और धैर्य में निहित है अपने कर्म पर ध्यान दो, फल की चिंता मत करो....""

« सुप्रभात »
52
36
306
5.8K",2024-10-22T02:58:33.000Z,0,0,0,0,#भगवान श्री कृष्ण,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Sarvagy_/status/None
