username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@Abhayuplive,"ABHAY TRIPATHI
@Abhayuplive
·
37m
सपा प्रत्याशी नसीम सोलंकी के मंदिर में जलाभिषेक के बाद मंदिर का शुद्धिकरण।
मंदिर में आने वाले भक्तों और समिति के लोगों ने किया गंगाजल से शुद्धिकरण। 
@Uptv_live
 @UPTV_BREAKING
0:10
5",2024-11-02T07:54:10.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Abhayuplive/status/None
@tv24up,"tv24UP#
@tv24up
·
1h
सपा प्रत्याशी नसीम सोलंकी का पूजा करते वीडियो वायरल, अब नसीम सोलंकी न राम में रही न रहीम में, क्योंकि बीजेपी इसे चुनावी चाल कह रही है तो मौलाना कलमा पढ़ तौबा की बात कर रहे हैं, क्या सेकुलर होना भी पाप है?
@AcharyaPramodk
 @yadavakhilesh
21",2024-11-02T06:41:38.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@tv24up/status/None
@UPNBT,"NBT Uttar Pradesh
@UPNBT
·
1h
कानपुर के सीसामऊ से विधानसभा उपचुनाव में उतरी सपा की नसीम सोलंकी ने की शिव मंदिर में पूजा। मौलाना ने जारी किया फतवा। भाजपा का हमला- आग लगाने वालों के घर तक पहुंची लपट।
#SisamauByElection #Kanpur #naseemsolanki #BJP #UttarPradesh 
@NavbharatTimes
2
111",2024-11-02T06:56:04.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@UPNBT/status/None
@MrIndiA_786,"Abdul Qadir
@MrIndiA_786
·
19m
Replying to 
@007AliSohrab
#कानपुर : समाजवादी पार्टी की उम्मीदवार #नसीम_सोलंकी द्वारा वानखंडेश्वर मंदिर में पूजा करने के बाद आज मंदिर का गंगाजल से शुद्धिकरण किया गया। मंदिर समिति के सदस्यों और भक्तों ने शुद्धिकरण की प्रक्रिया की। और बनो सेकुलर यह तो तब खुश होंगे जब तुम इनका धर्म ही स्वीकार कर लो. राजनीति
Show more
2
2
26",2024-11-02T08:12:34.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@MrIndiA_786/status/None
@KhanK84228933,"Mukeem Khan
@KhanK84228933
·
Oct 30
कानपुर शीशा मऊ विधानसभा क्षेत्र मे नसीम सोलंकी जी के लिए उपचुनाव का जनसंपर्क करते हुए 
1
2
3
57",2024-10-30T11:13:42.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@KhanK84228933/status/None
@AmritVichar,"Amrit Vichar
@AmritVichar
·
36m
कानपुर की सीसामऊ सीट से समाजवादी पार्टी प्रत्याशी नसीम सोलंकी ने वनखंडेश्वर मंदिर में जलाभिषेक किया था, इस पर मौलानाओं ने नाराजगी जाहिर की

बरेली के मौलाना मुफ्ती शहाबुद्दीन रजवी ने जारी किया नसीम सोलंकी के खिलाफ फतवा 

नसीम सोलंकी #Kanpur #SamajwadiParty #SisamauBypoll
16",2024-11-02T07:55:11.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@AmritVichar/status/None
@DrVermaAshutosh,"Dr. Ashutosh Verma (Patel)
@DrVermaAshutosh
·
1h
सीसामऊ से सपा प्रत्याशी नसीम सोलंकी ने मंदिर में जलाभिषेक किया। उसके बाद मंदिर का शुद्धिकरण किया गया। 
जो देश सौहार्द, आपसी भाईचारे, मानवीयता की मिसालों की कहानियों से भरा पड़ा है, वहाँ इस नफरती सोच को कौन बढ़ा रहा है ?
@samajwadiparty
 @MediaCellSP
0:04
1
6
17
149",2024-11-02T07:22:21.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@DrVermaAshutosh/status/None
@surya_samajwadi,"Surya Samajwadi
@surya_samajwadi
·
1h
कल सपा नेत्री नसीम सोलंकी ने कानपुर की एक मंदिर में पूजा की थी आज बीजेपी समर्थित पाखंडी मंदिर को गंगाजल से धूल रहे है 

ये वही लोग है जो दलित को घोड़ी चढ़ने नहीं देते है, दलित पिछड़े को मंदिर में घुसने नहीं देते थे
From 
UttarPradesh.ORG News
10
38
145
1.4K",2024-11-02T07:02:29.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@surya_samajwadi/status/None
@IANSKhabar,"IANS Hindi
@IANSKhabar
·
34m
यूपी: सीसामऊ विधानसभा क्षेत्र से सपा प्रत्याशी नसीम सोलंकी ने दिवाली के मौके पर कानपुर के एक प्रसिद्ध मंदिर में शिवलिंग पर जलाभिषेक किया। इसके बाद श्रद्धालुओं और समिति के सदस्यों ने मंदिर को गंगाजल से शुद्ध किया।
1
1
32",2024-11-02T07:57:10.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@IANSKhabar/status/None
@bstvlive,"भारत समाचार | Bharat Samachar
@bstvlive
·
Nov 1
कानपुर

सपा प्रत्याशी नसीम सोलंकी ने मंदिर में की पूजा अर्चना
नसीम सोलंकी ने वनखंडेश्वर मंदिर में की पूजा अर्चना
दीपावली पर मंदिर में शिवलिंग के पास जलाएं दीपक
मंदिर में जलाभिषेक के बाद शिवलिंग छूकर की प्रार्थना
पूर्व विधायक इरफान सोलंकी की पत्नी हैं नसीम सोलंकी
Show more
7
76
551
9.3K",2024-11-01T02:44:06.000Z,0,0,0,0,#नसीम सोलंकी,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@bstvlive/status/None
