username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@sarthakzzzz,"Sarthak
@sarthakzzzz
·
2h
What a save 
@ashwinravi99
 

#INDvNZ #Ashwin
1
7
1.5K",2024-11-03T07:19:38.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@sarthakzzzz/status/None
@Naqueebalam984,"Naqueeb Alam
@Naqueebalam984
·
23h
If #ashwin take three wickets and who like this post i will give  1000 rupees to everyone 

#TestCricket #INDvNZ
1
1
9
2.3K",2024-11-02T10:15:37.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Naqueebalam984/status/None
@aloktiwariup43,"Alok Tiwari
@aloktiwariup43
·
22h
Unbelievable Catch by #Ashwin Anna 
#INDvsNZ
From 
BCCI
22
6
59
2.5K",2024-11-02T11:04:10.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@aloktiwariup43/status/None
@AnujSha12970770,"Hexagonal
@AnujSha12970770
·
2h
Ash Anna supremacy 
#INDvNZ #Rishabpant #ashwin #ViratKohli #RohitSharma
3
24
9.2K",2024-11-03T07:19:56.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@AnujSha12970770/status/None
@_mrempty,"ᴀᴛ ɪꜰ
@_mrempty
·
1h
Just Ashwin doing Ashwin things 

#INDvNZ | #Ashwin | #TestCricket
1
82",2024-11-03T07:31:43.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@_mrempty/status/None
@Tejsvee2,"Tejsvee
@Tejsvee2
·
1h
90 saal mai ek baar to allowed hai yaar .

#INDvNZ #Wankhede
#Kohli #RohitSharma #Ashwin
1
2
212",2024-11-03T07:36:57.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Tejsvee2/status/None
@PrakashBurdak6,"Prakash Burdak
@PrakashBurdak6
·
18m
अश्विन ने बहुत ही शानदार कैच लिया मगर टीम इंडिया हार गई 
#Ashwin
#INDvsNZ
4
1
9
154",2024-11-03T09:12:17.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@PrakashBurdak6/status/None
@ABCricinfo16,"AB Cricinfo
@ABCricinfo16
·
Oct 26
359 Target 
(kya Lagta hai Bhaiyo) ? #indvsnzl #INDvsNZTEST #RohitSharma #jadeja #ashwin #viratkohli
#gautamgambhir
112
23
534
17K",2024-10-26T05:00:51.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ABCricinfo16/status/None
@viratxgoat18,"@viratxgoat18
·
21h
Sir Jadeja 

#askinsiders #INDvNZ #Ashwin Will Young
0:09
From 
BCCI
1
3
12
994",2024-11-02T11:45:02.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@viratxgoat18/status/None
@DurveshKum38506,"rosyart
@DurveshKum38506
·
Oct 26
Exposed India....

#INDvNZ
#Retire
#WTC25
#TestCricket 
#captaincy 
#Ashwin
#MSDhoni 
#Gambhir
Show more
5
47
6.9K",2024-10-26T10:40:01.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@DurveshKum38506/status/None
@kartik_kannan,"Kartik Kannan
@kartik_kannan
·
22h
That Phillips wicket was important. He was swinging and these sixes could be important investments extending the lead. What a comeback! 

Phillips standing and rewinding how the ball missed his bat 

#IndvNZ 
#Ashwin
1
1
14
1.9K",2024-11-02T10:42:02.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@kartik_kannan/status/None
@Saurabh89851634,"सौरभ मिश्र
@Saurabh89851634
·
23h
Rachin Ravindra falls for Ashwin's bait 
#idfcfirstbanktestseries #INDvNZ
#JioCinema #Ashwin
From 
JioCinema
2
266",2024-11-02T09:42:57.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Saurabh89851634/status/None
@ACTRESUPDATE,"ACTRESS UPDATE
@ACTRESUPDATE
·
Nov 2
𝗦𝗵𝗲 

#BabyJohn #Sreeleela #SalmanKhan #Ashwin #RohitShetty #BiggBossSeason8Tamil #PoojaHegde #SamanthaRuthPrabhu
1
2
2K",2024-11-02T08:30:19.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ACTRESUPDATE/status/None
@SidChi_,"Sid_tweets
@SidChi_
·
Oct 26
Ravindra Jadeja master-class…!!!!

#INDvNZL #INDvNZ #INDvsNZ #ViratKohli𓃵 #RohitSharma𓃵 #BBK11 
#Pune #BBKSeason11 #BB26 #Ashwin #Sundar #Jadeja
From 
JioCinema
1
1
18
3.3K",2024-10-26T05:18:10.000Z,0,0,0,0,#Ashwin,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@SidChi_/status/None
