username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@SarthakSh12,"Sarthak
@SarthakSh12
·
11h
According to you, who is your favourite in #BiggBoss18 

LIKE - #RajatDalal𓃵 
RT - #VivianDsena 
COMMENT - Karanveer Mehra 
#BB18
BB18 BELONGS TO KARAN
0:00
33
102
287
25K",2024-11-03T17:54:21.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@SarthakSh12/status/None
@adimanav_101,"Singh Vivek
@adimanav_101
·
16h
Karanveer expresses his thoughts clearly and takes the game seriously. Let’s give him the hype he deserves!

BB18 BELONGS TO KARAN #BiggBoss18onJioCinema #BiggBossSeason8Tamil #BB18 
@KaranVeerMehra
12
367
432
22K",2024-11-03T13:14:51.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@adimanav_101/status/None
@ilsvxjk,"𝒍𝒊𝒂✰
@ilsvxjk
·
8h
no matter how much they try to demoralise him, karanveer mehra will always shine through 
this man keeps adding more reasons for me to love him each day 

#KaranveerMehra #BB18 #BiggBoss18

BB18 BELONGS TO KARAN
9
184
430
12K",2024-11-03T21:13:49.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ilsvxjk/status/None
@hourlyabhi,"αẞhi 🂡
@hourlyabhi
·
18h
Constantly targeted by BB/host 
- Nobody’s priority in the house
- Constantly taunted about his past 
- Thrown under the bus by his “friend”

BB18 BELONGS TO KARAN 

#KaranveerMehra • #Biggboss18 • #BB18
From 
𝓢𝓱o
3
203
184
3.3K",2024-11-03T11:04:47.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@hourlyabhi/status/None
@FlyingXEagle,"𝐅𝐥𝐲𝐢𝐧𝐠 𝐄𝐚𝐠𝐥𝐞
@FlyingXEagle
·
13h
- 
@KaranVeerMehra
 First contestant from #BiggBoss18 , who’s trending at first spot In India 

Jalwa hai bhai ka .. Rt if you are happy 

BB18 BELONGS TO KARAN
#KaranVeerMehra #BiggBoss #BB18
8
260
333
3.1K",2024-11-03T15:54:12.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@FlyingXEagle/status/None
@IamSinghaniya,"Nikita Singhaniya
@IamSinghaniya
·
15h
I’m proud of myself for supporting a person like Karan. #KaranveerMehra has never made any bad comments about a woman, nor has he ever commented on anyone’s personal life in #BB18 

BB18 BELONGS TO KARAN 
@KaranVeerMehra
13
360
620
9.4K",2024-11-03T13:57:55.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@IamSinghaniya/status/None
@mansish09885347,"mansi sharma
@mansish09885347
·
14h
Replying to 
@8bitSumit
BB18 BELONGS TO KARAN

##BB18
7
4
44",2024-11-03T14:51:15.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@mansish09885347/status/None
@nawaabshahab,"PREM
@nawaabshahab
·
19h
Toh Chaliye Trend Shuru karte hain -

BB18 BELONGS TO KARAN

Jungle mein shorr macha do Karan ke Veero.

Tweet. Retweet and Repeat

#BB18 #BiggBoss18
145
82
1.2K",2024-11-03T09:59:18.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@nawaabshahab/status/None
@mr_Tubun,"Shiv
@mr_Tubun
·
16h
No fan of #KaranVeerMehra will scroll without liking and reposting 

BB18 BELONGS TO KARAN

#BigBoss18 #BB18 #ChumVeer
3
203
263
7.3K",2024-11-03T13:20:55.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@mr_Tubun/status/None
@TheKhabriTak,"The Khabri Tak
@TheKhabriTak
·
13h
Latest : Records has been broken and history has been made by #KaranveerMehra & fans as BB18 BELONGS TO KARAN is trending at #1

Comment - Your Opinion 
#BB18 #BiggBoss #BiggBoss18 
@KaranVeerMehra
 

Follow - 
@TheKhabriTak
 for more
20
317
491
8.1K",2024-11-03T16:06:31.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@TheKhabriTak/status/None
@FlyingXEagle,"𝐅𝐥𝐲𝐢𝐧𝐠 𝐄𝐚𝐠𝐥𝐞
@FlyingXEagle
·
14h
Congratulations everyone 
@KaranVeerMehra
 becomes first contestant who trending at 1st spot in India nation worldwide .. 

BB18 BELONGS TO KARAN
#KaranVeerMehra #BiggBoss18 #BB18
23
396
682
8K",2024-11-03T15:35:34.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@FlyingXEagle/status/None
@Khalidbcp,"Khalid Imran Khan
@Khalidbcp
·
37s
A perfect mix of humor, kindness, and warmth—he’s truly one of a kind!  Thankful for his sharp wit, caring nature, and boundless generosity.

BB18 BELONGS TO KARAN
@KaranVeerMehra
 #KaranveerMehra #bb18
8",2024-11-04T05:49:52.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Khalidbcp/status/None
@quixotik_soulll,"Butter ℂ ℍ Я î Ƨ Ƨ Ǝ Ǝ ヅ
@quixotik_soulll
·
13h
Koi rok lo mujhe, meko pyar hotey jaa ra iss bande se. Karans convo wid Chum n dat light flirt at d end uffffff

BB18 BELONGS TO KARAN

#BiggBoss18 #BB18 #KaranVeerMehra #BBKingKaran
1
15
16
435",2024-11-03T16:25:45.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@quixotik_soulll/status/None
@ShubhamTharwani,"Shubham Tharwani
@ShubhamTharwani
·
12h
The one who didn't even give 2 eggs to karan for the whole week, he is sharing his half roti as they are given only poha (without veggies). 
@KaranVeerMehra
 you are truly a gem of a person. 

BB18 BELONGS TO KARAN
#KaranveerMehra #BiggBoss18 #BB18
4
141
284
4.4K",2024-11-03T17:40:48.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ShubhamTharwani/status/None
@Ask_YourFaith,"A n i k e t
@Ask_YourFaith
·
14h
Replying to 
@meanzIsCrazy
Sensible

.
.
.
.
!!!

BB18 BELONGS TO KARAN
11
5
38",2024-11-03T15:14:29.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Ask_YourFaith/status/None
@ktweetsx,"k.♡ྀི
@ktweetsx
·
17h
This man is a prime example that your hard work will be rewarded. It may take time but it'll happen definitely.

BB18 BELONGS TO KARAN
144
149
1.5K",2024-11-03T12:05:36.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ktweetsx/status/None
@15Apoorva7,"𝒜𝓅𝑜𝑜𝓇𝓋𝒶
@15Apoorva7
·
13h
Inne serious convo mai bhi isse confirm karna ladki pasand karti ya nahi, bhai yeh alag masti mai laga rehta 

KV - you dont like me 

#Biggboss18 #BB18 #KaranveerMehra #ChumVeer 
BB18 BELONGS TO KARAN
2
119
204
5.7K",2024-11-03T16:25:32.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@15Apoorva7/status/None
@FlyingXEagle,"𝐅𝐥𝐲𝐢𝐧𝐠 𝐄𝐚𝐠𝐥𝐞
@FlyingXEagle
·
14h
- #NyraBanerjee supporting 
@KaranVeerMehra
 on IG story 

“Sabki Bja di tumne” ..

BB18 BELONGS TO KARAN
#KaranVeerMehra #BiggBoss18 #BB18
8
182
216
3.4K",2024-11-03T15:40:52.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@FlyingXEagle/status/None
@neha_4553,"Neha
@neha_4553
·
13h
This is what makes Karan special  Despite everything Avinash does and says, KV offered him food. 
SO PROUD TO STAN HIM <3 
BB18 BELONGS TO KARAN 
#KaranVeerMehra #BB18
#BigBoss18  #KaranveerMehra
2
61
57
1.4K",2024-11-03T16:42:25.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@neha_4553/status/None
@ReelRiderr,"𝐑𝐞𝐞𝐥𝐑𝐢𝐝𝐞𝐫
@ReelRiderr
·
15h
With clarity in his words and fire in 
his game, Karanveer is here to take #BB18 by storm . 
All eyes on him because 
BB18 BELONGS TO KARAN !!!!

#Biggboss18
53
38
831",2024-11-03T14:26:27.000Z,0,0,0,0,#BB18 BELONGS TO KARAN,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ReelRiderr/status/None
