username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@likeshare192121,"likeshare
@likeshare192121
·
Oct 31
#Prince William to end homelessness
#Camilla to end domestic violence.
#Charles to put an end to #Cancer
#Kate to stop making people cry
18
65
363
6.4K",2024-10-30T21:40:34.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@likeshare192121/status/None
@EmilySmithMedia,"EmilySmithUK
@EmilySmithMedia
·
Oct 26
#Charles meets #GloriaBugie  nfaa
3
9
822",2024-10-25T19:25:25.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@EmilySmithMedia/status/None
@FlorianRonsain,"Flo
@FlorianRonsain
·
Oct 29
#StarAcademy Évaluation : #Charles et #Noah commencent fort avec une interprétation intense de ""Mon Frère"" des 10 Commandements ! La barre est très haute : 16,5/20 pour moi. Petit bémol, la scène au théâtre était un peu gênante et redondante ! Quel est votre avis?
3
2
41
6.7K",2024-10-29T09:54:24.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@FlorianRonsain/status/None
@Thirteen33Pro,"UMV records
@Thirteen33Pro
·
6h
Light it up with a  Red Wave! Light Up the Night #Charles #Berkhouse featuring #Soulneque on the #female #rap #flow and vocals! Stream  
Apple Music https://music.apple.com/us/album/light-up-the-night-feat-soulneque/1772107702?i=1772107703… or Spotify https://open.spotify.com/track/3fxHXH0oPgY1q6RxDFr2oH?si=oztN1ATrSxqwpBj95ZU-3g…
1
1
25",2024-11-03T10:30:34.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Thirteen33Pro/status/None
@LaLifeDeSoso,"Soraya Twitte
@LaLifeDeSoso
·
Oct 27
""Tu t’démerde ""  #Charles 
@nikosaliagas
 sans filtre JPP  #StarAcademy 
GIF
1
24
5.1K",2024-10-26T21:44:23.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@LaLifeDeSoso/status/None
@noukatsu1964,"旅する30代パズル作家
@noukatsu1964
·
Oct 26
代官山でお友達とティータイム

久しぶりに来たけどあいも変わらず「代官山」って感じだったので、いつか代官山をテーマにしたパズルを作ります

#Charles-Henry
#シャルルアンリ
#タルト
5
183",2024-10-26T06:25:31.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@noukatsu1964/status/None
@RoyalInkHQ,"Royal ink
@RoyalInkHQ
·
Oct 31
SHOW WORKING ! 

He became president the same time as Tinubu, just so you know ! 

#Charles #SB19 #Halloween #Minor #Dhanteras #Trump #Killing #하이브불매 #세븐틴_탈하이브 #Poison
2
3
440",2024-10-31T15:12:31.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@RoyalInkHQ/status/None
@AnwarKnight,"Anwar Knight
@AnwarKnight
·
Oct 30
So sad to hear this news. #Charles was an icon at the 
@TheTorontoZoo
 & watching him will forever be apart of the unforgettable memories for millions of people over the years. His legacy will be his offspring and the awareness he helped create to protect this endangered species.
Quote
The Toronto Zoo
@TheTorontoZoo
·
Oct 30
Your Toronto Zoo is celebrating the life and legacy of a beloved icon, 52-year-old Western lowland silverback gorilla, Charles, a revered member of the Zoo family since opening day in 1974. Charles passed away late yesterday afternoon. 
5
17
119
5.2K",2024-10-30T12:05:12.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@AnwarKnight/status/None
@iprema,"愛プレマ・占星家
@iprema
·
18h
11/3お誕生日の人々
♯数秘術
2024/11/3 -(4)
1852/11/3（嘉永5年9月22日） -(3)(～1912/7/30）(5) #明治天皇、第122代天皇
1921/11/3 -(9)(～2003/8/30）(7) #Charles Bronson,チャールズ・ブロンソン、俳優『荒野の七人』『さらば友よ』『雨の訪問者』
1928/11/3 -(7)(～1989/2/9）(2)
Show more
3
106",2024-11-02T22:45:40.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@iprema/status/None
@Ankitbjpvns,"Ankit baranwal
@Ankitbjpvns
·
Oct 28
जय जय काशी विश्वनाथ स्वामी की कृपा आप सभी पर हमेशा बनी रहे
#தமிழகவெற்றிக்கழகம்  #TvkVijayMaanadu
#WHUMUN #TVKVijay #Norris #Diwali #KIND #HEARTED #VivianDesna #Charles
3
5
6
71",2024-10-28T00:07:33.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Ankitbjpvns/status/None
@cellaumat,"Senga
@cellaumat
·
Oct 31
Il y a eu de sacrés progrès chez #Thomas et #Maïa 
#Charles et #Noah ont été incroyable 
Et #Ebony et #Marguerite
Ont vraiment performé avec des harmonies superbes 

#StarAcademyleLive
#StarAcademyLive
#StarAcademy2024
4
1.2K",2024-10-30T19:29:49.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@cellaumat/status/None
@_Direct_News,"DIRECT.NEWS
@_Direct_News
·
21h
#DISGRACE
Le roi Charles III a officiellement coupé  l’allocation annuelle de son frère, le prince Andrew. Elle était estimée à 1,2 million d’euros par an.
#Charles #Andrew #England
https://cnews.fr/monde/2024-11-02/le-roi-charles-iii-officiellement-coupe-lallocation-annuelle-de-son-frere-le-prince…
4
16
13
537",2024-11-02T19:58:58.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@_Direct_News/status/None
@BenefitNews24,"Benefit News
@BenefitNews24
·
Oct 30
બ્રિટનના રાજા ચાર્લ્સ તૃતીય અને રાણી કેમિલા ભારતની મુલાકાતે

ચાર્લ્સ તૃતીય અને કેમિલા બેંગલુરૂમાં રોકાયા હતા

વ્હાઈટફિલ્ડ નજીક ઈન્ટિગ્રેટેડ મેડિકલ ફેસિલિટી સેન્ટરમાં રોકાણ કર્યું હતું

કેન્સરના નિદાન પછી ચાર્લ્સની આ પ્રથમ મુલાકાત હતી
#britain_king #Charles #camilla #bengaluru
4
4
37",2024-10-30T13:52:29.000Z,0,0,0,0,#Charles,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@BenefitNews24/status/None
