username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@OnanaOOC,"Onana - What's my name?
@OnanaOOC
·
4m
#MUNCHE #PremierLeague #EPL #MUFC #CFC #ManUtd #Chelsea #CHELSEAFC
From 
مانشستر يونايتد x تشلسي
1
6
8
2.2K",2024-11-03T16:57:16.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@OnanaOOC/status/None
@CFCWajid,"Wajid
@CFCWajid
·
3h
Cole Palmer is the nightmare of Man United fans. 

#Cfc #Chelsea #MUNCHE
From 
Chelsea FC
2
209",2024-11-03T13:16:51.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@CFCWajid/status/None
@IlamLamar,"Ilam Lamar
@IlamLamar
·
Oct 30
Cole Palmer Classic Goal  against Man United 

#PremierLeague #Chelsea
9
5
18
1.3K",2024-10-30T12:34:19.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@IlamLamar/status/None
@WasswaEmma555,"The Mad Man
@WasswaEmma555
·
51m
Secrets!! How The Magical  Photo of The Year 2024 Taken By The Best Photographer 
@ZumaMukalazi
 Has Changed The Saddest Story  of This African Village Man in Kasese #ExploreUganda  #MUNCHE #Chelsea #ManchesterUnited
4:03
1
5
8
1.3K",2024-11-03T16:10:10.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@WasswaEmma555/status/None
@WasswaEmma555,"The Mad Man
@WasswaEmma555
·
2h
Secrets Why Gulu City is becoming A special Place in Uganda  #GuluCityMarathon #Chelsea #ManchesterUnited #blessedsunday
2
5
13
527",2024-11-03T14:15:12.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@WasswaEmma555/status/None
@Hidupuntukmajor,"manchester united vs chelsea Live stream
@Hidupuntukmajor
·
19m
Laga Premier League malam ini.
Minggu 3 November 2024
Nonton di tele tanpa ads

 Manchester United vs Chelsea
 23.30 wib
 Old Trafford
 LINK NOBAR
https://t.me/major/start?startapp=1068718385…
Show more
3
3.7K",2024-11-03T16:41:48.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Hidupuntukmajor/status/None
@yogesh_xrma,"Yogesh
@yogesh_xrma
·
7m
Chelsea look tired   
If Chelsea Score 1 Goal then I'll Give you $30 who everyone like this post.
#Chelsea #PremierLeague #football 
#CFC #MUNCHE
1
232",2024-11-03T16:53:41.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@yogesh_xrma/status/None
@Obi_Uchendu,"Obi
@Obi_Uchendu
·
Oct 28
Drop One sentence to describe Nicolas Jackson . Lets hear it 

#CHENEW #Chelsea
2
1
14
704",2024-10-27T23:13:30.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Obi_Uchendu/status/None
@Walthamsteve,"Wetlands Steve
@Walthamsteve
·
21h
Hercules (Lord Salisbury), slays the Hydra (Chelsea Waterworks Co.) with his #Chelsea Water #Bill of 1873, aimed at improving #water supply & #sewage #infrastructure, in this 1873 Punch cartoon by Joseph Swain. #MARCHFORCLEANWATER Sun 3 Nov  
@MarchforWater
 #History #MarchforWater
1
5
14
1.8K",2024-11-02T19:21:46.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Walthamsteve/status/None
@yamatohayashida,"yamato
@yamatohayashida
·
34m
おはよう、僕の愛する兄弟姉妹よ
行くぞ！
Come on Chelsea
#CFC｜#MUNCHE｜#chelsea｜#チェルシー
GIF
4
1.1K",2024-11-03T16:26:46.000Z,0,0,0,0,#Chelsea,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@yamatohayashida/status/None
