username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@tiktokviral320,"ciwik2tiktod
@tiktokviral320
·
Oct 30
Itu mau keliatan  #hijab #cantik #indo #tobrut
2
10
13K",2024-10-30T17:17:53.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@tiktokviral320/status/None
@hijabiholic,"Saima Baig
@hijabiholic
·
6h
I Love #Hijab
4
339",2024-11-03T10:20:14.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@hijabiholic/status/None
@ThePerilousGirl,"Pooja Sangwan
@ThePerilousGirl
·
6h
True Feminist of Iran

This Iranian woman protested against the morality police of Iran which force women to wear Burkha or Hijab.

More power to her!! 

#Iran #feminism #hijab #MoralityPolice
From 
Mossad Commentary
1
3
7
1.6K",2024-11-03T10:22:01.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ThePerilousGirl/status/None
@OsiOsint1,"OsintWorld
@OsiOsint1
·
51m
 To divert attention from the outrage over Hijab rules, the Iranian regime claims that Ahoo Daryaei is mentally ill and sent to a psychiatric hospital

She was arrested by the regime and is currently held in an unknown location

#Iran #AhooDaryaei #Israeli #Hijab #Iranians
1
3
219",2024-11-03T16:15:05.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@OsiOsint1/status/None
@MrSpiritsRaven,"𓂆𝕄𝕣JB™
@MrSpiritsRaven
·
4h
Young Woman student in #Iran protesting the #abuse she received for wearing her #hijab. She removed her #Hijab & walked around campus wearing her bra & panties in protest. She was arrested but Not Before She Made A Point MANY Will Never Forget.
Quote
Masih Alinejad
@AlinejadMasih
·
20h
In Iran, a student harassed by her university’s morality police over her “improper” hijab didn’t back down. She turned her body into a protest, stripping to her underwear and marching through campus—defying a regime that constantly controls women’s bodies. Her act is a powerful
Show more
1
2
2
492",2024-11-03T12:58:28.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@MrSpiritsRaven/status/None
@TakeYcc,"Yuono Take (YCC)
@TakeYcc
·
Oct 29
GM
#hijab #hijabi #hijabsange #jilbab #Jilbabsange #jilbabcrot
2
4.3K",2024-10-29T01:03:12.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@TakeYcc/status/None
@ErWasap,"Mor the Faith
@ErWasap
·
3h
En esta joven iraní que se quita la ropa tras ser golpeada por la policía de la moral, está la lucha, la rabia, el orgullo, la sororidad, la valentía, el desafío, la osadía y la belleza de todas las mujeres de este planeta.
Las mujeres iraníes vencerán.
#iran
#hijab 
#wearewomen
2:13
2
6
171",2024-11-03T13:13:32.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ErWasap/status/None
@Juliasurparis75,"Julia
@Juliasurparis75
·
Oct 31
J’accepte l’espèce et j’ai mon appart sur Paris  #soumise #chienne #suceuse #hijab #voile #escort
7
48
60
24K",2024-10-30T20:35:29.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Juliasurparis75/status/None
@omidhabibinia,"Omid Habibinia
@omidhabibinia
·
Nov 2
Tehran Today: A Brave #FemaleStudent at the University of Science and Research in #Tehran Protested today by Taking off all her Clothes in Response to an attack by #Basij (#IRGC)and Security forces. They had torn her clothes because she was not wearing  #Hijab.
2
8
10
7.3K",2024-11-02T13:53:14.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@omidhabibinia/status/None
@MarianoGiustino,"Mariano Giustino
@MarianoGiustino
·
18h
Guardante quanto coraggio ha questa ragazza iraniana. Un gesto potente che incarna la rivoluzione ""Donna, Vita, Libertà"" ancora in corso messo in atto nel campus dell'Università di Scienza e Ricerca di #Tehran. La ragazza è stato arrestata, ha sfidato le squadre femminili
Show more
198
866
2.9K
120K",2024-11-02T22:56:05.000Z,0,0,0,0,#Hijab,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@MarianoGiustino/status/None
