username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@raksha_baori,"Raksha Wrestler 𝕏 🆇
@raksha_baori
·
1h
#INDWvNZW #INDvNZ #Indian 
India unhappy over representation in this cricket series BCCI should take appropriate decision and give rest to such players who have not been able to play properly for a long time and have become old. Indian team will perform well in the next match
GIF
2
42",2024-11-03T07:51:59.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@raksha_baori/status/None
@thundarrstorm,"হৃদয় হরণ
@thundarrstorm
·
1h
50+ scores in each Innings at 100+ Strike Rate (India) 

Stat © Cricbuzz

 Getty Images
21",2024-11-03T07:36:39.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@thundarrstorm/status/None
@surbalu,"Suresh Balaji
@surbalu
·
1h
First time in #Indian cricket history whitewashed in home ground 

The low team India ever faced 

#GG era 

#India | #INDvNZ | #NewZealand | #NZvsIND | #INDvsNZ
3
7
35
2.6K",2024-11-03T07:41:09.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@surbalu/status/None
@htTweets,"Hindustan Times
@htTweets
·
Oct 26
#ElectionsWithHT | The Election Commission appointed former #Indian cricket captain #MSDhoni as the brand ambassador for the upcoming #Jharkhand elections.  

More Details:
https://hindustantimes.com/india-news/ms-dhoni-appointed-brand-ambassador-for-jharkhand-assembly-election-101729918685922.html…
4
56
597
13K",2024-10-26T07:53:21.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@htTweets/status/None
@BCCI,"BCCI
@BCCI
·
Mar 14, 2021
Captain 
@imVkohli
 finishes it off in style with a SIX 

#TeamIndia  beat England  by  wickets to level the series 1-1 

#INDvENG 
@Paytm
 

Scorecard  http://bit.ly/Ind-v-Eng2ndT20I…
113
1.6K
14K",2021-03-14T17:11:54.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@BCCI/status/None
@gyagnesh,"Yagnesh Goswami
@gyagnesh
·
Oct 26
You can't find fault in this match..

Its Newzeland who has played a good cricket and #Indian team who couldn't play well.

Need todo some brainstorming now.

#INDvsNZ
2
100",2024-10-26T08:02:01.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@gyagnesh/status/None
@PradRam9,"Pradeep Ramakrishnan
@PradRam9
·
21m
This is perhaps the lowest point for #Indian Test #Cricket. They were always tigers at home, pussies abroad. Since Ganguly they started winning abroad.

But domestic #Test matches were only about the margin of an Indian #victory. This #INDvNZ has stunned #Cricket fans!
1
90",2024-11-03T09:04:45.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@PradRam9/status/None
@abpmajhatv,"ABP माझा
@abpmajhatv
·
Nov 2
8 चौकार, 2 षटकार! दिवाळी पाडव्याला वानखेडेवर ऋषभ पंतचा धमाका; ठोकले सर्वात वेगवान अर्धशतक अन् केला 'हा' विक्रम
#RishabhPant #Indian #record #IndiavsNewZealand #Mumbai #cricket #cricketnews
8 चौकार, 2 षटकार! दिवाळी पाडव्याला वानखेडेवर ऋषभ पंतचा धमाका; ठोकले सर्वात वेगवान अर्धशतक अन् केला...
From marathi.abplive.com
1
824",2024-11-02T06:26:10.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@abpmajhatv/status/None
@shomer_A,"G. Somenath
@shomer_A
·
55m
#Indian Test Cricketers not in T20 ""Scheme of Things"" should  religiously play 1st Class cricket during Domestic T20 Leagues IPL 
.
#IPL's purpose is to nurture T20 talents for Indian Team
Why're you playing IPL? #RohitSharma #Jadeja
#ViratKohli #Ashwin
.
#India before Franchise.
1
61",2024-11-03T08:30:03.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@shomer_A/status/None
@Abhinee89755091,"Abhineet Raj
@Abhinee89755091
·
55m
#INDvNZ
November and Heartbreak by ICT will remain a constant, Biggest Series Win by any Team in Test Cricket History.
First ever Whitewash for india at home 0-3 
Gambhir era started very seriously !
#NewZealand #Indian #IndiaVsNewZealand
1
94",2024-11-03T08:30:14.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Abhinee89755091/status/None
@PradRam9,"Pradeep Ramakrishnan
@PradRam9
·
19m
The only way the #Indian #Cricket team could apply balm to their bruised fans is by winning the #WCT.

#INDvNZ
1
85",2024-11-03T09:06:15.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@PradRam9/status/None
@BhairavVaam,"Bhairav
@BhairavVaam
·
Sep 27
#BreakingNews  #UP
#Kangladeshi supporter serviced in UP by #Indian cricket fans.

Thank you people of #Uttarpradesh
#IndiaVsBangladesh 
#SaveBangladeshiHindus
From 
Abhishek Tripathi / अभिषेक त्रिपाठी
4
1
8
550",2024-09-27T09:09:11.000Z,0,0,0,0,#Indian Cricket,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@BhairavVaam/status/None
