username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@charwak_gautam,"Charwak Gautam
@charwak_gautam
·
39s
न्यूजीलैंड ने भारत को भारत में हराया, जो घरेलू मैदान पर 12 वर्षों से अपराजित था।

New Zealand, take a bow!

GG Era की बेहतरीन उपलब्धि 

India in India 
#INDvNZ #whitewash #RohitSharma #ViratKohli 
Team India #Kiwis
#retire",2024-11-03T09:24:12.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@charwak_gautam/status/None
@WeeklyOffload,"The Weekly Offload
@WeeklyOffload
·
23h
That's the best game of International footy I've ever seen....

#Tonga #kiwis #rugbyleague #football #nrl #NewZealand #Tongan #footy #nrl #International #rugby
1
3
214",2024-11-02T09:39:03.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@WeeklyOffload/status/None
@pratidintime,"Pratidin Time
@pratidintime
·
14m
In a stunning upset, 
@BLACKCAPS
 swept 
@BCCI
  3-0 in their first-ever series whitewash on Indian soil, claiming victory in the final Test at Mumbai’s Wankhede Stadium.

Full story here: http://pratidintime.com/sports/india-loses-3-0-to-new-zealand-at-home-wtc-standing-in-peril…

#IndiaVsNewZealand #WTC #BCCI #Kiwis
63",2024-11-03T09:10:10.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@pratidintime/status/None
@NBiffs,"Rugby League Best Tries Hits and Biffs
@NBiffs
·
Oct 5
New Zealand vs Great Britain 1992.
Classic game…
#NZ #Kiwis #Lions #GreatBritain #TestMatch #Legends #RugbyLeague
From 
Rugby League Lions
4
9
102
13K",2024-10-05T07:26:59.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@NBiffs/status/None
@sakthibalu_twtz,"Dr.Sakthi
@sakthibalu_twtz
·
1h
New Zealand have been absolutely magnificent and they have outplayed India in every department of the game..! #KIWIS
1
48",2024-11-03T07:42:16.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@sakthibalu_twtz/status/None
@shaileshch40001,"shailesh
@shaileshch40001
·
Oct 28
When kiwis stunned after watching thala.
#ThalaDhoni #Kiwis
2
35",2024-10-28T16:46:03.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@shaileshch40001/status/None
@MukunthHarish,"Mukunth Harish
@MukunthHarish
·
1h
Well done, Blackcaps 
@BLACKCAPS
 #Kiwis A clean sweep over 
@BCCI
 on their home ground is nothing short of remarkable. Perhaps it’s time to consider 
@BCCIdomestic
 play as a mandate, even for legends, when facing a dip in form #INDvNZ
3
85",2024-11-03T07:51:34.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@MukunthHarish/status/None
@sportsroyal_gb,"Sports Royal
@sportsroyal_gb
·
1h
Historic series sweep! 
 New Zealand beats India 3-0 at Wankhede, marking India’s first home whitewash since 1999. Tom Latham’s squad secures a monumental win!  #INDvNZ #Kiwis
143",2024-11-03T07:40:22.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@sportsroyal_gb/status/None
@k$hay,"@k$hay
@aksh_7k
·
1h
New #Pakistan of International cricket is now 
@BCCI
. Congratulations on thumping victory to our legendary support staff #GG #MM. Come back stronger next time #Kiwis. #INDvNZ
1
94",2024-11-03T07:37:11.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@k$hay/status/None
@NZRL_Kiwis,"NZ Rugby League
@NZRL_Kiwis
·
Sep 19
Our Jersey for 2024  From the year ‘02. 

Available now!  - http://shop.nzrl.co.nz

#DynastySport #NZRL #Kiwis #KiwiFerns
5
19
91
4.3K",2024-09-19T03:17:16.000Z,0,0,0,0,#Kiwis,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@NZRL_Kiwis/status/None
