username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@AnupamPKher,"Anupam Kher
@AnupamPKher
·
Apr 30, 2021
मेरे मित्र और हिंदी न्यूज़ जगत के साहसी एवं दबंग न्यूज़ एंकर #रोहित_सरदाना की मृत्यु की ख़बर सुनी।तक़रीबन एक महीना पहले उनसे लंबी बात की थी।हमेशा ज़िन्दादिल, बेबाक़ और बेख़ौफ़। उनके जाने का दुख आत्मा की गहराई तक पहुँचा है।प्रभू उनके परिवार को शक्ति प्रदान करें।ओम शांति!
1.3K
3.5K
42K",2021-04-30T08:41:55.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@AnupamPKher/status/None
@TheBrahminVoice,"The Brahmin Voice `ब्राह्मण`
@TheBrahminVoice
·
Oct 28
ब्राह्मण बाहुल्य दौसा विधानसभा उपचुनाव में सभी प्रमुख दलों द्वारा ब्राह्मणों की उपेक्षा के पश्चात अब भाजपा के बागी #रोहित_शर्मा_चायवालास जी ने निर्दलीय दावेदारी ठोंकी है,हाल ही में समाज द्वारा आयोजित दिवाली स्नेह मिलन कार्यक्रम में भी उनके समर्थन की बात हुई।

सभी बंधु कमर कस लें।
4
102
346
3.6K",2024-10-28T09:42:41.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@TheBrahminVoice/status/None
@navsekera,"Navniet Sekera
@navsekera
·
Jun 25
ऐसे ही नहीं मिसाल देते हैं शर्मा जी के बेटे की 
Well done #RohitSharma 
19
95
1.9K
25K",2024-06-25T03:50:28.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@navsekera/status/None
@aajtak,"AajTak
@aajtak
·
Feb 26, 2022
रोहित शर्मा ने वो कारनामा किया, जो अभी तक कोई भारतीय नहीं कर सका 
#ATCard
पूरी खबर: https://bit.ly/3ICKpQU
9
62
937",2022-02-26T17:03:41.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@aajtak/status/None
@LoksattaLive,"LoksattaLive
@LoksattaLive
·
Dec 6, 2023
“टी२० विश्वचषकासाठी जर मी संघात हवा असेल तर त्याबाबत मला आताच पूर्वकल्पना द्या”, -रोहित शर्मा

https://loksa.in/H9Ge7E   < येथे वाचा सविस्तर वृत्त

#MarathiNews #RohitSharma #BCCI #Cricket #Cricketnews
3
18
494
12K",2023-12-06T12:10:35.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@LoksattaLive/status/None
@common000786Om,"BITTU SHARMA- بٹو شرما
@common000786Om
·
Jul 5, 2022
रोहित रंजन की गिरफ्तारी के बाद गोदी मीडिया
18
232
933",2022-07-05T05:01:03.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@common000786Om/status/None
@ShubhamShuklaMP,"Shubham Shukla
@ShubhamShuklaMP
·
Jun 24
रोहित शर्मा की महानता का सबसे बड़ा कारण-

पहली गेंद में शॉट मारने के प्रयास से लेकर शतक  क़रीब पहुँचने पर भी चौके छक्के बटोरकर टीम के लिए रन बनाना। आज शतक के बेहद क़रीब होने के बाद भी शॉट खेलने के चक्कर में आउट हुए।  ये कभी भी अपने अर्द्धशतक या शतक के लिए टुक-टुक नहीं खेलते।

ये
Show more
30
170
1.1K
13K",2024-06-24T15:49:59.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ShubhamShuklaMP/status/None
@Tusharsharma614,"E𝐫.T𝐮𝐬𝐡𝐚𝐫 S𝐡𝐚𝐫𝐦𝐚 ( इं० तुषार शर्मा )
@Tusharsharma614
·
Oct 7
#रेवसा 
@sitapurpolice
 मार्केट में एक मित्र #मोबाइल व्यवसाई
वो हुये बड़ी ठगी का शिकार
उनको दो बंदों एक ने #रोहित दूसरे #अलवी अपनी पहचान #सीतापुर से ही बताई
दोनों ने मोबाइल लैपटाप का नकली सामान 
लगभग 24 लाख का #शिवम_अवस्थी दुकानदार को बेच के हुये फरार
सतर्क रहे सभी लोग..
@Uppolice
2
5
9
297",2024-10-07T16:18:27.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Tusharsharma614/status/None
@RajeevTiwariIND,"रljeev
@RajeevTiwariIND
·
Oct 19, 2023
विदेशी खिलाड़ी

#कोहली को रोकने की पढ़ाई करके आए थे

exam में #रोहित शर्मा आ गया?
 #ICCCricketWorldCup23
1
1
23",2023-10-19T04:32:17.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@RajeevTiwariIND/status/None
@SHARMA_RNS,"सुरेश शर्मा
@SHARMA_RNS
·
Jun 23, 2021
रोहिंग्या के आका अब भी है वक्त सुधर जाओ ना राष्ट्रवादियों उकसाओ शांत रहना फितरत हमारी है वरना एक कवि भी सब पर भारी है
5
264
220",2021-06-23T07:49:10.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@SHARMA_RNS/status/None
@Bhoyarabhya,"अभिषेक भोयर - Abhishek bhoyar
@Bhoyarabhya
·
Sep 12, 2023
शेट आम्ही पैशासाठी नाही देशासाठी खेळतो. 
वडापाव म्हणाऱ्याच्या ट्रोलिंग वर मुतलाय रोहीत शर्मा. 
10000 रन कंप्लीट #रो_सुपर_हिट_मॅन_शर्मा. 

#रोहीत
Rohit Sharma
3
10
308",2023-09-12T12:34:25.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Bhoyarabhya/status/None
@drajayldubey,"Dr.Ajay L Dubey
@drajayldubey
·
Nov 19, 2023
फाइनल मुकाबले के लिए तैयार है टीम इंडिया, सभी लोग शुभकामनाएं दे।
#टीम #इंडिया के कप्तान #रोहित #शर्मा जी Best of luck  पूरे देश की दुआये टीम इंडिया के साथ है #विजयी #भव
4
11
125",2023-11-19T08:56:30.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@drajayldubey/status/None
@_007SharmaMohit,"मोहित शर्मा
@_007SharmaMohit
·
Nov 12, 2019
राम उसका रावण भी उसका,
जीवन उसका मरण भी उसका ।
ताण्डव हैं और ध्यान भी वो हैं,
अज्ञानी का ज्ञान भी वो हैं।
वही शून्य हैं वही इकाई,
जिसके भीतर बसा शिवाय 
#शुभ_प्रभात 
#ऊँ_नमः_शिवाय 
#शुभ_दिन 
20
41
150",2019-11-12T02:14:42.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@_007SharmaMohit/status/None
@VoiceOfBrahmins,"Voice Of Brahmins
@VoiceOfBrahmins
·
Jun 30
भारतीय शेर रोहित शर्मा ने झंडा गाड़ दिया। 
This media has been disabled in response to a report by the copyright owner.
18
530
3.4K
53K",2024-06-29T18:34:20.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@VoiceOfBrahmins/status/None
@Rajeev_jhs,"RAJEEV JHA
@Rajeev_jhs
·
Oct 28
रोहिणी सिंह को क्या लगता है कि #DelhiRiots भड़काने वाले शरजील उमर सफूरा रामचंद्र ताहिर और न जाने ऐसे कितनों को इतिहास भूल जाएगा जिन्होंने अंकित शर्मा दिलबर नेगी जैसी कितनी ही बर्बर हत्याएं की
एक एक दिन का हिसाब लेकर रहेगा इतिहास
7",2024-10-28T04:13:23.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Rajeev_jhs/status/None
@SatyamTiwari002,"सत्यम् तिवारी
@SatyamTiwari002
·
Jun 6, 2019
एक ब्राह्मण लड़का रोहित शर्मा शतक बना के जिताया ये इस बात का सूचक है कि देश ब्राह्मणवाद की ओर बढ़ रहा भले हम जीत गए पर एक सेकुलर मुल्क के तौर पर हमारी हार है  -""हर उपाय की समस्या खोजने वाले महान पत्तलकार- रबिस कुमार जी""
#Sorry
14
80
172",2019-06-06T07:13:20.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@SatyamTiwari002/status/None
@AmitNationlist,"Amit Tomar
@AmitNationlist
·
May 1, 2021
आरक्षण के खिलाफ बोलने की हिम्मत आपने दिखाई…
SC/ST Act के विरुद्ध आप खुलकर बोले थे…
#रोहित_सरदाना_जी ये देश कभी भी आपकी भरपाई नहीं कर पाएगा…
आप हमेशा हमारे दिलों में जिंदा रहोगे…
इस पोस्ट के जरिए... आपको अंतिम प्रणाम…
6
305
714",2021-05-01T02:31:48.000Z,0,0,0,0,#रोहित शर्मा,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@AmitNationlist/status/None
