username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@meet_21_,"MeeT
@meet_21_
·
2h
Often we see mentally challenged people roaming on roads. Saint Dr MSG Insan started a initiative for helping those mentally challenged via providing them proper health treatment and unite them with their families.
#MissionToUniteFamilies
Dr.GURMEET RAM RAHIM and Shah Satnam Ji Green S Welfare Committee
2
5
5
19",2024-11-04T03:13:25.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@meet_21_/status/None
@Kotajitu1994,"Sea_winter
@Kotajitu1994
·
4h
आज लोगों में इंसानियत खत्म होती जा रही हैं। खासकर, जो मंदबुद्धि है, उन्हे समाज में हीन भावना से देखा जाता हैं। Saint Dr MSG Insan कि प्रेरणा से ऐसे मानसिक रूप से विक्षिप्त लोगों का इलाज कराया जाता हैं उसके बाद उनको उनके परिवार को सौंप दिया जाता हैं।
#MissionToUniteFamilies
9
9
37",2024-11-04T01:30:01.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Kotajitu1994/status/None
@asredhu11,"A. S. ARYA
@asredhu11
·
2h
Mentally disturbed people are seen as inferior in the society Whereas Saint Dr MSG Insan started the work of treating mentally retarded people. DSS followers get the mentally challenged people treated  hand them over to their families
#MissionToUniteFamilies
6
6
78",2024-11-04T02:50:02.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@asredhu11/status/None
@Gaganpr89219900,"Gagan preet
@Gaganpr89219900
·
2h
आज के युग में लोग बहुत स्वार्थी हो गए हैं किसी की मदद करना नहीं चाहते।गुरु Saint Dr MSG Insan जी की प्रेरणा से उनके अनुयाई मानसिक रूप से बीमार लोगों का इलाज करवा कर उन्हें उनके परिवार से मिलवाते हैं।
#MissionToUniteFamilies
9
7
204",2024-11-04T03:20:35.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Gaganpr89219900/status/None
@MonikaI777,"Monika_Mehra
@MonikaI777
·
3h
Saint Dr. MSG Insan has kept humanity alive by initiating the Help Mentally Challenged campaign.Following the noble inspirations of Guruji,the disciples of DSS provide treatment for mentally challenged individuals and later reunite them with their families.#MissionToUniteFamilies
Dr.GURMEET RAM RAHIM and Honeypreet  Insan
1
16
14
33",2024-11-04T02:09:17.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@MonikaI777/status/None
@Meen_u_Kathuria,"Thank You God
@Meen_u_Kathuria
·
3h
Followers of Saint Dr MSG Insan take care of mentally  retarded persons roaming on roads and reunite them with their families .
#MissionToUniteFamilies
1
15
13
44",2024-11-04T02:37:27.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Meen_u_Kathuria/status/None
@kumarinsanv,"Vivek Kumar insan
@kumarinsanv
·
3h
We all should understand the situation of a mentally ill person and our attitude towards them should be caring and sympathetic. Saint Dr MSG Insan has kept humanity alive by taking care of the mentally challenged and starting the work of welfare of people.#MissionToUniteFamilies
1
1
8",2024-11-04T02:48:41.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@kumarinsanv/status/None
@InsanNeeru2,"ℕ𝔼𝔼ℝ𝕌 𝔹𝔸𝕋ℍ𝕀ℕ𝔻𝔸
@InsanNeeru2
·
4h
Mentally ill people are seen as inferior in the society Whereas Saint Dr MSG Insan started the work of treating mentally retarded people Following his inspiration the followers get the mentally challenged people treated  hand them over to their families
#MissionToUniteFamilies
4
113
107
400",2024-11-04T01:30:03.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@InsanNeeru2/status/None
@mamta_77713,"Mamta Grover
@mamta_77713
·
2h
In this era of modernization where people are limited to their families ,there are millions who inspired  by Saint Dr MSG Insan
take care of those mentality retarded people wondering on roads ,provide them treatment and reunite them with their families 
#MissionToUniteFamilies
8
9
185",2024-11-04T03:00:01.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@mamta_77713/status/None
@Iampreet004,"Préét_k
@Iampreet004
·
2h
आजकल लोग पैसा कमाने के लिए दौड़ रहे हैं इस लिए Saint Dr MSG Insan ने मंदबुद्धि संभाल मानवता भलाई के कार्य की शुरूआत की गुरूजी की पावन प्रेरणाओं पर चलते हुए डेरा सच्चा सौदा के अनुयायियों द्वारा ऐसे मानसिक रूप से विक्षिप्त लोगों का इलाज कराया जाता हैं। #MissionToUniteFamilies
5",2024-11-04T02:59:32.000Z,0,0,0,0,#Saint Dr MSG Insan,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Iampreet004/status/None
