username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@amritpradhan63,"Amrit Pradhan
@amritpradhan63
·
20m
North Stand Gang in full flow. 

Meanwhile Sundar from the other end. 

#INDvNZ #Wankhede #Sundar
141",2024-11-02T08:12:05.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@amritpradhan63/status/None
@Faraz__Iqbal,"FI
@Faraz__Iqbal
·
Oct 25
A floating haven on river trace,
A houseboat sits with gentle grace,
Ripples whisper tales of water song,
As current carries dreams along,
Overcast #sky paints liquid floor,
Reflections dance forevermore.

#Amaran #gistlover #bbcqt #vss365 #WriteMap #Sundar #polio #netlife #Manta
8
17
152
952",2024-10-25T02:46:37.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Faraz__Iqbal/status/None
@darbhangakhabar,"Darbhanga Khabar
@darbhangakhabar
·
Oct 24
दरभंगा पहुंचे मशहूर डॉक्टर कफील खान, पहुंचते ही माहौल गर्म और शुरू किया बाढ़ पीड़ितों के क्षेत्र में.....
पूरा खबर देखने के लिए नीचे थ्रेड देखें 
#Gulmarg #Pushpa2TheRule #Sundar
2
5
10
1.4K",2024-10-24T16:04:34.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@darbhangakhabar/status/None
@AbhignaMaisuria,"Abhigna Maisuria
@AbhignaMaisuria
·
Oct 25
25 OCT - MID DAY 

#Sinkanderraza #punetest #sundar #ashwin #BANvsSA #Rabada #Hockeyindia #RaniRampal #PAKvsENG #manubhaker #indwvsnzw #mumbai #ahmedabad #halloffame #icc #midday #abhignamaisuria
2
268",2024-10-25T07:11:13.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@AbhignaMaisuria/status/None
@Prem99331373,"Prem
@Prem99331373
·
Oct 24
IT HPN TOMORROW 
#ViratKohli𓃵 #kohli #indvsnzl #Sundar
2
1
21
4.9K",2024-10-24T16:11:37.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Prem99331373/status/None
@Monish09cric,"Monish
@Monish09cric
·
Oct 26
UNLUCKY VIRAT KOHLI 
It looks like Not Out but Gone for Umpire's Call 

#Jaiswal #ShubmanGill #INDvNZ   #IPL2025 #ViratKohli #Pune #RishabhPant #RohitSharma #INDvsNZ #Sundar #SarfarazKhan
3
361",2024-10-26T08:06:00.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Monish09cric/status/None
@Monish09cric,"Monish
@Monish09cric
·
Oct 26
It was Just Clipping .

It looks like Not Out but Virat Kohli Gone for Umpire's Call 

#Jaiswal #ShubmanGill #INDvNZ   #IPL2025 #ViratKohli #Pune #RishabhPant #RohitSharma #INDvsNZ #Sundar #SarfarazKhan
1
3
627",2024-10-26T08:14:38.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Monish09cric/status/None
@Rohith_tarak_45,"Tarak Devotee
@Rohith_tarak_45
·
32m
Washington Sundar with bat in the India vs New Zealand Test series:

- 18*(21)
- 21(47)
- 38*(36)

India's biggest positive for BGT...!!!

#WashingtonSundar #Sundar #INDvNZ #INDvsNZ #IndiaVsNewZealand #IndianCricketTeam
1
125",2024-11-02T08:00:29.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Rohith_tarak_45/status/None
@Rohith_tarak_45,"Tarak Devotee
@Rohith_tarak_45
·
31m
WELL PLAYED, WASHINGTON SUNDAR 

- Sundar scored a valuable 38* runs and India lead by 28 runs, vital for India's chances for the WTC final.

#WashingtonSundar #Sundar #INDvNZ #INDvsNZ #IndiaVsNewZealand #IndianCricketTeam
1
129",2024-11-02T08:00:55.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Rohith_tarak_45/status/None
@rajputani_girl_,"Miistii Singh
@rajputani_girl_
·
Oct 24
#sanatani will pass without liking this post  

Jay Mahakal 
Jay Shri Ram 
Good evening  

#Pushpa2ThaRule #Prabhas 
#SinghamAgain #AlluArjun 
#TheRaajaSaab #Pushpa 
#PAKvsENG #JioHotstar #Pushpa2TheRuleOnDec5th 
Show more
3
4
10
1.5K",2024-10-24T13:52:59.000Z,0,0,0,0,#Sundar,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@rajputani_girl_/status/None
