username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@jypnation,"JYPnation
@jypnation
·
2h
NEXZ(넥스지) ""NALLINA""
TEASER IMAGE #2

#YUKI #유키 #ユウキ

2024.11.18 MON 6PM (KST)

#NEXZ #넥스지 #ネクスジ
#NALLINA #NEXZ_NALLINA
1
182
1K
19K",2024-11-03T15:01:13.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@jypnation/status/None
@ttt6149,"𝕏𝕏𝕏
@ttt6149
·
8m
この雨で即SC入れるならWETなんて廃止してしまえよ！#RB #VCARB #tsunoda #yuki #角田裕毅 #f1 #f1jp #f1fujinext
2
12
1.1K",2024-11-03T16:58:11.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ttt6149/status/None
@jypnation,"JYPnation
@jypnation
·
Oct 31
NEXZ(넥스지) ""NALLINA""
TEASER IMAGE #1

#YUKI #유키 #ユウキ

2024.11.18 MON 6PM (KST)

#NEXZ #넥스지 #ネクスジ
#NALLINA #NEXZ_NALLINA
10
587
3.5K
96K",2024-10-31T15:01:29.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@jypnation/status/None
@NEXZ_official,"NEXZ
@NEXZ_official
·
Nov 1
𝖨 𝗐𝖺𝗇𝗇𝖺 𝗀𝖾𝗍 𝖺 𝗇𝖾𝗐 𝗅𝗈𝗈𝗄 ⋆˖ ࣪⭑

▸ https://youtube.com/shorts/DjK6InCHdwE…
▸ https://instagram.com/reel/DB0q039Soyv/…
▸ https://vt.tiktok.com/ZSjjgScF8/

#NEXZ #ネクスジ #넥스지
#TOMOYA #トモヤ #토모야
#SOGEON #ソゴン #소건
#YUKI #ユウキ #유키
Show more
30
721
2.4K
73K",2024-11-01T09:02:57.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@NEXZ_official/status/None
@Soma_yukihir,"Zen YT
@Soma_yukihir
·
Oct 26
#Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san 
#Yuki Suou 
#Anime
1
27
1.1K",2024-10-25T22:50:23.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Soma_yukihir/status/None
@purki_p,"Headway out now!!!
@purki_p
·
5h
IREH AND YUKI DOING LOOK AT ME

#PURPLE_KISS #ON_MY_BIKE #IREH #YUKI
From 
타몽이
7
47
470",2024-11-03T11:31:48.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@purki_p/status/None
@1sqhGYjztzaA9vG,"真人
@1sqhGYjztzaA9vG
·
Oct 28
#89ersチアーズ
#YUKI
#Bチア
#89ers
0:10
1
11
790",2024-10-28T10:25:13.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@1sqhGYjztzaA9vG/status/None
@Lala_Nex_2y,"ららNEX2Y
@Lala_Nex_2y
·
Oct 31
ヘアカラーした弟たちの髪の毛に手を入れて…
愛おしいなと思ってるのが溢れちゃってるトミヤスヒョン

#NEXZ #넥스지 #ネクスジ
#TOMOYA #토모야 #トモヤ
#NEXZVLOG #YU #YUKI
#NALLINA #NEXZ_NALLINA
1
14
301
10K",2024-10-31T03:32:38.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Lala_Nex_2y/status/None
@hammer_bridge,"スーパーユキンコリニスタ石橋
@hammer_bridge
·
Oct 26
YUKIの何が凄いかって、１番はやっぱりソロ活動に入ってから、愛と、優しさと、心の平和、そして何よりも特別でなくてもいい、何気ない普通の日常の素晴らしさを一貫して歌い続けていることだと思うんだ。

#YUKI
#SUPERSLITS
2
54
1.3K",2024-10-26T06:09:28.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@hammer_bridge/status/None
@nexz_winkboy,"じみー
@nexz_winkboy
·
Oct 28
はあぁ難しいなぁ…って言葉に詰まって話し始めるところ好きすぎる。賢くて全方位配慮の言葉選びをするユウキくんの頭の中で駆け巡った気持ちは計り知れないけど、特大感情の湧いてるお顔がso sweet。楽しみたいしって言い直したとこもユウキくんらしすぎるしわくわくわくわくで爆死
#NEXZ #YUKI
1
18
942",2024-10-28T07:41:48.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@nexz_winkboy/status/None
@36_shirokuma,"ᗰIKI
@36_shirokuma
·
Oct 27
みんな大好きハロウィン仕様のSRGです
美しくて可愛くて
オープニング時にキラキラ光るシュシュつけてたの可愛かった〜
(敬称略)
#サンロッカーズ渋谷 #SRG 
#SAE #YUNA #YUU #YUMEKA 
#YUKI #RIN #SAKI #YUKA
1
1
29
1.1K",2024-10-27T11:08:18.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@36_shirokuma/status/None
@ilikepo0,"미정
@ilikepo0
·
Oct 26
241026 쇼음악중심 미팬
하트 코양히

#유키 #YUKI #ユキ
#퍼플키스 #PURPLE_KISS
13
48
2.8K",2024-10-26T03:43:38.000Z,0,0,0,0,#Yuki,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ilikepo0/status/None
