,username,tweet_content,datetime,hashtag,source,user_verified,url,sentence_length,hour,date,month,year
0,sarthakzzzz,Meaningful What a sev   A,2024-11-03 07:19:38,#Ashwin,Twitter Web,False,https://twitter.com/@sarthakzzzz/status/None,25,7.0,2024-11-03,11,2024
1,Sportskeeda,Sportskeeda Nov The biggest supporters of Rohit Sharma Ravichandran Ashwin     K K,2024-11-02 16:43:44,#Ashwin,Twitter Web,False,https://twitter.com/@Sportskeeda/status/None,82,16.0,2024-11-02,11,2024
2,lokesh0210,Lokesh Jaiswal Oct Happy Diwali to all Indians How did I joke     K,2024-10-26 10:34:50,#Ashwin,Twitter Web,False,https://twitter.com/@lokesh0210/status/None,67,10.0,2024-10-26,10,2024
3,AnujSha12970770,Hexagonal h Ash Anna supremacy      K,2024-11-03 07:19:56,#Ashwin,Twitter Web,False,https://twitter.com/@AnujSha12970770/status/None,37,7.0,2024-11-03,11,2024
4,AryaMohite53560,Arya Mohite h I take my words back what the hell Ashwin why would you go for a reverse sweep Come on you should have just defended it   Quote Arya Mohite h Well done Ashwin Excellent presence of mind As he survives ,2024-11-03 07:28:01,#Ashwin,Twitter Web,False,https://twitter.com/@AryaMohite53560/status/None,215,7.0,2024-11-03,11,2024
5,Tashibaudh1234,Tashi baudh Nov One thing was to ask that Lawrence Bishnoi and Bishnoi society threatens Salman Khan for killing deer So Lord Rama also hunted deer in Ramayana does  and  also oppose Ram     Naukri K,2024-11-02 11:52:35,#Ashwin,Twitter Web,False,https://twitter.com/@Tashibaudh1234/status/None,199,11.0,2024-11-02,11,2024
6,roaring_shetty,Deekshith Shetty h Lord Ashwin is now hockey player too   ,2024-11-03 07:25:19,#Ashwin,Twitter Web,False,https://twitter.com/@roaring_shetty/status/None,58,7.0,2024-11-03,11,2024
7,singh_anit80732,Thur Retik Singh Nov After the magazines magazine wife of the wife            ,2024-11-02 10:49:34,#Ashwin,Twitter Web,False,https://twitter.com/@singh_anit80732/status/None,78,10.0,2024-11-02,11,2024
8,preetikuntal123,preeti Nov Good night          ,2024-11-02 16:07:47,#Ashwin,Twitter Web,False,https://twitter.com/@preetikuntal123/status/None,31,16.0,2024-11-02,11,2024
9,Mersal_Akash_,Méràlákåßh h Ash na  ,2024-11-03 07:24:02,#Ashwin,Twitter Web,False,https://twitter.com/@Mersal_Akash_/status/None,21,7.0,2024-11-03,11,2024
10,dubeyjikahin,Amit Dubey Nov In my opinion Sarfaraz Khan is an average player who tends to perform well on flat pitches and is overhyped by certain sections of the media and wokes       K,2024-11-02 12:41:35,#Ashwin,Twitter Web,False,https://twitter.com/@dubeyjikahin/status/None,173,12.0,2024-11-02,11,2024
11,Sujith1727,Sujith V h Ashwin couldve been a great hockey player too man what was that  ,2024-11-03 07:18:26,#Ashwin,Twitter Web,False,https://twitter.com/@Sujith1727/status/None,76,7.0,2024-11-03,11,2024
12,sportzsphere,Sportz Sphere h Even Ravichandran Ashwin is playing better cricket than so called Goat Virat Kohli who only makes runs on flat pitches   ,2024-11-03 07:12:33,#Ashwin,Twitter Web,False,https://twitter.com/@sportzsphere/status/None,137,7.0,2024-11-03,11,2024
13,MidnightMusinng,Cricketism Nov What a fantastic knock this from Shai Hope He scored his th ODI What an underrated cricketer he is         From Windies Cricket,2024-11-02 21:33:08,#Ashwin,Twitter Web,False,https://twitter.com/@MidnightMusinng/status/None,142,21.0,2024-11-02,11,2024
14,Gkandla_,Ghanshim Nov जबरदसतत तऍतऍt  quote Johns Nov yearold ashwin take a stunner,2024-11-02 12:29:00,#Ashwin,Twitter Web,False,https://twitter.com/@Gkandla_/status/None,73,12.0,2024-11-02,11,2024
15,Ankitadv35,Ankit Yadav h India will now lose wickets have fallen this match will also come out of India,2024-11-03 07:31:21,#Ashwin,Twitter Web,False,https://twitter.com/@Ankitadv35/status/None,92,7.0,2024-11-03,11,2024
16,wvraman,WV Raman h The decision to rule  out was one of the best I have seen in a few years time    K,2024-11-03 13:11:54,#Ashwin,Twitter Web,False,https://twitter.com/@wvraman/status/None,93,13.0,2024-11-03,11,2024
17,CrickTak,Mangleshwar Yadav Nov For the first time in over a decade both Jadeja and Ashwin struggled with bat and ball in a home Test series Their rare off series truly highlights their immense value and our dependency on them by losing their first home Test series loss in years    Ashwin K,2024-11-02 11:29:58,#Ashwin,Twitter Web,False,https://twitter.com/@CrickTak/status/None,281,11.0,2024-11-02,11,2024
18,santoshXid,Santosh Nov Mrunal Thakur recently called out at a fan posting a morphed image which has divided the internet Some say its Thakur ji right some say shes overreacting to a harmless Diwali fun Whats your take       GIF K,2024-11-02 13:17:53,#Ashwin,Twitter Web,False,https://twitter.com/@santoshXid/status/None,218,13.0,2024-11-02,11,2024
19,suheil_merchant,𝐒𝐮𝐡𝐞𝐢𝐥 𝐌𝐞𝐫𝐜𝐡𝐚𝐧𝐭 h Ex Indian Coach Rahul Dravids reaction after Indias Historic Loss to          GIF K,2024-11-03 09:00:07,#Ashwin,Twitter Web,False,https://twitter.com/@suheil_merchant/status/None,101,9.0,2024-11-03,11,2024
20,SinghMangl82072,Jaswant Singh Mangliya Oct                Jay Shree RAM,2024-10-26 09:07:20,#Ashwin,Twitter Web,False,https://twitter.com/@SinghMangl82072/status/None,55,9.0,2024-10-26,10,2024
21,Bilkl_ricks_nai,Big Bren Oct The last time  lost a Test series at home Most of the current squad had either not debuted or not even played FC cricket  and  had only started playing tests a year prior Pragyan Ojha was our best spinner Sachin still played for,2024-10-26 09:58:07,#Ashwin,Twitter Web,False,https://twitter.com/@Bilkl_ricks_nai/status/None,241,9.0,2024-10-26,10,2024
22,KARTHIKEYAN_MSD,karthik Nov Chennai super kings eye on buying Ravi Ashwin in mega auctionwhats your thoughts on this  ,2024-11-02 06:06:10,#Ashwin,Twitter Web,False,https://twitter.com/@KARTHIKEYAN_MSD/status/None,102,6.0,2024-11-02,11,2024
23,mr_ritik2k,Ritik sharma Oct What do you think to say something or wait for the next series    𓃵     ,2024-10-26 12:40:58,#Ashwin,Twitter Web,False,https://twitter.com/@mr_ritik2k/status/None,89,12.0,2024-10-26,10,2024
24,CrickitbyHT,CrickIt Nov R Ashwin surpasses Anil Kumbles yearold record after wrecking NZ batting order at Wankhede    R Ashwin surpasses Anil Kumbles yearold record after wrecking NZ batting order at Wankhede From hindustantimescom K,2024-11-03 03:27:48,#Ashwin,Twitter Web,False,https://twitter.com/@CrickitbyHT/status/None,221,3.0,2024-11-03,11,2024
25,im_arun_sak_,Running Nov Repleing to Ravi CHANDRAN and Ravi INDRANT Test matches isnt caleyly podecamudyathu evagara   GIF,2024-11-02 12:02:33,#Ashwin,Twitter Web,False,https://twitter.com/@im_arun_sak_/status/None,109,12.0,2024-11-02,11,2024
26,sonu_poonia7,Sonu ponia m The Biggest Supports of Rohit Sharma Ravichandran Ashwin    ,2024-11-04 05:14:07,#Ashwin,Twitter Web,False,https://twitter.com/@sonu_poonia7/status/None,73,5.0,2024-11-04,11,2024
27,vmanjunath,V Manjunath Nov Intrinsic musculature needs to be biopsied for him Lumbricals Interossei of steel  Quote Himanish Ganjoo Nov That Ashwin carrom ball drifted in degs and turned a WHOPPING degs All at kmph Pitched at m from the stumps moved away cms between pitching and hitting the stumps To do all this with the fingers in the opposite direction with a carrom ball Crazy Show more,2024-11-02 11:21:54,#Ashwin,Twitter Web,False,https://twitter.com/@vmanjunath/status/None,380,11.0,2024-11-02,11,2024
28,VineetKT11,Its a collective failure we will try and comeback for the win in Wankhede,2024-10-26 10:54:02,#Ashwin,Twitter Web,False,https://twitter.com/@VineetKT11/status/None,73,10.0,2024-10-26,10,2024
29,RVCJ_Sports,RVCJ Sports h Dream    K K,2024-11-03 07:52:04,#Australia,Twitter Web,False,https://twitter.com/@RVCJ_Sports/status/None,26,7.0,2024-11-03,11,2024
30,narottamsahoo,Narottam Sahoo h Congratulations to all students who qualified the Indian Olympiad Qualifier in  As you take on the Regional Mathematical Olympiad  today know that each problem solved is a step closer to representing India at the th  in  Believe in your Show more Gujarat Council on Science Technology and others,2024-11-03 08:00:59,#Australia,Twitter Web,False,https://twitter.com/@narottamsahoo/status/None,312,8.0,2024-11-03,11,2024
31,sati5454,sati Nov So this just happened in       mini tornado lol K,2024-11-01 05:58:04,#Australia,Twitter Web,False,https://twitter.com/@sati5454/status/None,58,5.0,2024-11-01,11,2024
32,skyperthwa,Sky Perth Oct Discover why Perth shines brighter than anywhere else      K,2024-10-29 11:03:08,#Australia,Twitter Web,False,https://twitter.com/@skyperthwa/status/None,74,11.0,2024-10-29,10,2024
33,FishingNiche,Fishing Niche Oct Time stood still for a moment Incredible Fish       K,2024-10-30 01:59:00,#Australia,Twitter Web,False,https://twitter.com/@FishingNiche/status/None,71,1.0,2024-10-30,10,2024
34,lefthandwave,Paul Oct Bronte Beach Sydney Australia Thursday morning vibes    ,2024-10-30 22:51:13,#Australia,Twitter Web,False,https://twitter.com/@lefthandwave/status/None,65,22.0,2024-10-30,10,2024
35,BettinaSRoss1,TheBossRoss x Nov On  This had me in stitches Comedy,2024-11-02 07:21:13,#Australia,Twitter Web,False,https://twitter.com/@BettinaSRoss1/status/None,52,7.0,2024-11-02,11,2024
36,LetsGoBrando45,Brandon Taylor Moore Oct The widespread noticing has begun in  K K M,2024-10-01 04:04:44,#Australia,Twitter Web,False,https://twitter.com/@LetsGoBrando45/status/None,68,4.0,2024-10-01,10,2024
37,MeritsunPower,MeritSun Power Nov Power ready to drive your projects forward The MeritSun VAh lithium battery offers reliable highcapacity energy for stable efficient power use when you need it most          ,2024-11-02 02:00:37,#Battery,Twitter Web,False,https://twitter.com/@MeritsunPower/status/None,193,2.0,2024-11-02,11,2024
38,INNO_Insights,INNOVATION Insights Nov We featured Dr Amy Prieto founder of Prieto Battery and a true innovator in energy storage tech Hear about her groundbreaking D battery design and her passion for sustainability Catch the episode here   ,2024-11-02 16:36:57,#Battery,Twitter Web,False,https://twitter.com/@INNO_Insights/status/None,227,16.0,2024-11-02,11,2024
39,Alpha_Bronze,AlphaBronze Nov Excellent update Thanks HPQ Silicon Unmatched Batteries Beat Samsung Panasonic NDAs Signed fullcycle sustainability exceeds projections HPQV HPQFF   ,2024-11-01 14:00:01,#Battery,Twitter Web,False,https://twitter.com/@Alpha_Bronze/status/None,165,14.0,2024-11-01,11,2024
40,LF_Arenas,Luis Fernando Arenas Nov Our latest publicationWhy organic flow batteries need thin membranes Excellent work by Lavrans Söffker on the anthraquinoneferrocyanide  TU Clausthal     Link,2024-11-01 15:10:50,#Battery,Twitter Web,False,https://twitter.com/@LF_Arenas/status/None,183,15.0,2024-11-01,11,2024
41,OsiOsint1,OsintWorld Nov Missouri lithium battery recycling plant after explosion The plant was one of the largest in the United States and the world The large fire destroyed part of the production       ,2024-11-01 06:56:15,#Battery,Twitter Web,False,https://twitter.com/@OsiOsint1/status/None,194,6.0,2024-11-01,11,2024
42,Meti1234567890B,MB Oct These are real practical situations for majority of average people This is why Batter Swapping is THE only solution that solves all EV mobility hurdles period   SWAPPING Quote BBC News UK Oct Man blocked from charging car outside own home,2024-10-28 14:26:33,#Battery,Twitter Web,False,https://twitter.com/@Meti1234567890B/status/None,245,14.0,2024-10-28,10,2024
43,SarthakSh12,Sarthak h According to you who is your favourite in  LIKE  RT  COMMENT Karanveer Mehra  BB BELONGS TO KARAN K,2024-11-03 17:54:21,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@SarthakSh12/status/None,109,17.0,2024-11-03,11,2024
44,adimanav_101,Singh Vivek h Karanveer expresses his thoughts clearly and takes the game seriously Lets give him the hype he deserves BB BELONGS TO KARAN    K,2024-11-03 13:14:51,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@adimanav_101/status/None,143,13.0,2024-11-03,11,2024
45,ilsvxjk,𝒍𝒊𝒂 h no matter how much they try to demoralise him karanveer mehra will always shine through this man keeps adding more reasons for me to love him each day    BB BELONGS TO KARAN K,2024-11-03 21:13:49,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@ilsvxjk/status/None,181,21.0,2024-11-03,11,2024
